4|urackit-voice  | 2025-12-17 18:51:14: INFO:     connection open
4|urackit-voice  | 2025-12-17 18:51:46: 2025-12-17 18:51:46,811 - sip_integration.media_stream - INFO - [user]: My phone number is 5 5 1 2 4 7 4 0 9 7...
4|urackit-voice  | 2025-12-17 18:51:47: 2025-12-17 18:51:47,028 - sip_integration.media_stream - INFO - [assistant]: Thanks, Sai. Let's get started. How can I assist you today?...
4|urackit-voice  | 2025-12-17 18:51:51: 2025-12-17 18:51:51,954 - sip_integration.openai_realtime - INFO - VAD detected user speech starting
4|urackit-voice  | 2025-12-17 18:51:51: 2025-12-17 18:51:51,954 - sip_integration.media_stream - INFO - User interruption detected
4|urackit-voice  | 2025-12-17 18:51:51: 2025-12-17 18:51:51,955 - sip_integration.openai_realtime - INFO - Sent response.cancel to OpenAI
4|urackit-voice  | 2025-12-17 18:51:51: 2025-12-17 18:51:51,955 - sip_integration.media_stream - INFO - Sent clear to Twilio to stop audio playback
4|urackit-voice  | 2025-12-17 18:51:58: 2025-12-17 18:51:58,915 - sip_integration.media_stream - INFO - [user]: I want to raise a ticket for my Wi-Fi not getting connected....
4|urackit-voice  | 2025-12-17 18:51:59: 2025-12-17 18:51:59,797 - sip_integration.media_stream - INFO - [assistant]: I'll help you with that. Can you describe the issue in more detail, and let me know if any other dev...
4|urackit-voice  | 2025-12-17 18:52:08: 2025-12-17 18:52:08,535 - sip_integration.openai_realtime - INFO - VAD detected user speech starting
4|urackit-voice  | 2025-12-17 18:52:08: 2025-12-17 18:52:08,535 - sip_integration.media_stream - INFO - User interruption detected
4|urackit-voice  | 2025-12-17 18:52:08: 2025-12-17 18:52:08,535 - sip_integration.openai_realtime - INFO - Sent response.cancel to OpenAI
4|urackit-voice  | 2025-12-17 18:52:08: 2025-12-17 18:52:08,535 - sip_integration.media_stream - INFO - Sent clear to Twilio to stop audio playback
4|urackit-voice  | 2025-12-17 18:52:16: 2025-12-17 18:52:16,391 - sip_integration.media_stream - INFO - [user]: No, it's just my laptop. I've been trying to connect to the Wi-Fi for a bit now and it's not getting...
4|urackit-voice  | 2025-12-17 18:52:17: 2025-12-17 18:52:17,116 - sip_integration.media_stream - INFO - [assistant]: Thanks for the details. I'll create a support ticket for you now. Could you tell me how urgent this ...
4|urackit-voice  | 2025-12-17 18:52:23: 2025-12-17 18:52:23,311 - sip_integration.openai_realtime - INFO - VAD detected user speech starting
4|urackit-voice  | 2025-12-17 18:52:23: 2025-12-17 18:52:23,311 - sip_integration.media_stream - INFO - User interruption detected
4|urackit-voice  | 2025-12-17 18:52:23: 2025-12-17 18:52:23,311 - sip_integration.openai_realtime - INFO - Sent response.cancel to OpenAI
4|urackit-voice  | 2025-12-17 18:52:23: 2025-12-17 18:52:23,311 - sip_integration.media_stream - INFO - Sent clear to Twilio to stop audio playback
4|urackit-voice  | 2025-12-17 18:52:27: 2025-12-17 18:52:27,734 - sip_integration.openai_realtime - INFO - VAD detected user speech starting
4|urackit-voice  | 2025-12-17 18:52:27: 2025-12-17 18:52:27,734 - sip_integration.media_stream - INFO - User interruption detected
4|urackit-voice  | 2025-12-17 18:52:27: 2025-12-17 18:52:27,734 - sip_integration.openai_realtime - INFO - Sent response.cancel to OpenAI
4|urackit-voice  | 2025-12-17 18:52:27: 2025-12-17 18:52:27,734 - sip_integration.media_stream - INFO - Sent clear to Twilio to stop audio playback
4|urackit-voice  | 2025-12-17 18:52:29: 2025-12-17 18:52:29,083 - sip_integration.media_stream - INFO - [user]: I couldn't get my work done without the Wi-Fi, so......
4|urackit-voice  | 2025-12-17 18:52:29: 2025-12-17 18:52:29,985 - sip_integration.media_stream - INFO - [user]: I can say this is pretty urgent....
4|urackit-voice  | 2025-12-17 18:52:31: 2025-12-17 18:52:31,716 - sip_integration.media_stream - INFO - [assistant]: Got it. I'll mark it as high priority. Let me create the ticket for your Wi-Fi connectivity issue no...
4|urackit-voice  | 2025-12-17 18:52:32: 2025-12-17 18:52:32,557 - sip_integration.media_stream - INFO - Function call: create_ticket({'subject': 'Wi-Fi not connecting on laptop', 'description': 'User Sai from ABC Solutions reports that their laptop is unable to connect to Wi-Fi. This issue is urgent as it affects their work.', 'category': 'Network & Connectivity', 'priority': 'High'})
4|urackit-voice  | 2025-12-17 18:52:33: 2025-12-17 18:52:33,167 - sip_integration.agent_adapter - INFO - Executed tool create_ticket: success
4|urackit-voice  | 2025-12-17 18:52:35: 2025-12-17 18:52:35,926 - sip_integration.media_stream - INFO - [assistant]: Your ticket has been created. The ticket ID is 21. A technician will review it shortly. Is there any...
4|urackit-voice  | 2025-12-17 18:52:48: 2025-12-17 18:52:48,850 - sip_integration.openai_realtime - INFO - VAD detected user speech starting
4|urackit-voice  | 2025-12-17 18:52:48: 2025-12-17 18:52:48,850 - sip_integration.media_stream - INFO - User interruption detected
4|urackit-voice  | 2025-12-17 18:52:48: 2025-12-17 18:52:48,850 - sip_integration.openai_realtime - INFO - Sent response.cancel to OpenAI
4|urackit-voice  | 2025-12-17 18:52:48: 2025-12-17 18:52:48,850 - sip_integration.media_stream - INFO - Sent clear to Twilio to stop audio playback
4|urackit-voice  | 2025-12-17 18:52:53: 2025-12-17 18:52:53,714 - sip_integration.media_stream - INFO - [user]: No, that sounds good. I have my ticket number, so I'm good....
4|urackit-voice  | 2025-12-17 18:52:55: 2025-12-17 18:52:55,016 - sip_integration.media_stream - INFO - [assistant]: Great! If you need any further assistance, feel free to reach out. Have a good day!...
4|urackit-voice  | 2025-12-17 18:53:02: 2025-12-17 18:53:02,232 - sip_integration.openai_realtime - INFO - VAD detected user speech starting
4|urackit-voice  | 2025-12-17 18:53:02: 2025-12-17 18:53:02,232 - sip_integration.media_stream - INFO - User interruption detected
4|urackit-voice  | 2025-12-17 18:53:02: 2025-12-17 18:53:02,232 - sip_integration.openai_realtime - INFO - Sent response.cancel to OpenAI
4|urackit-voice  | 2025-12-17 18:53:02: 2025-12-17 18:53:02,232 - sip_integration.media_stream - INFO - Sent clear to Twilio to stop audio playback
4|urackit-voice  | 2025-12-17 18:53:03: 2025-12-17 18:53:03,377 - sip_integration.media_stream - INFO - [user]: Thank you....
4|urackit-voice  | 2025-12-17 18:53:03: 2025-12-17 18:53:03,780 - sip_integration.media_stream - INFO - [assistant]: You're welcome! Goodbye....
4|urackit-voice  | 2025-12-17 18:53:10: 2025-12-17 18:53:10,858 - sip_integration.media_stream - INFO - Twilio media stream stopped
